Category,BodyType,Animation,AttemptedPath,Error
"hair","male","walk","No LPC data found for hair/male","No sprite data available"
"hair","male","hurt","No LPC data found for hair/male","No sprite data available"
"hair","male","idle","No LPC data found for hair/male","No sprite data available"
"hair","male","shoot","No LPC data found for hair/male","No sprite data available"
"hair","male","slash","No LPC data found for hair/male","No sprite data available"
"hair","female","walk","No LPC data found for hair/female","No sprite data available"
"hair","female","hurt","No LPC data found for hair/female","No sprite data available"
"hair","female","idle","No LPC data found for hair/female","No sprite data available"
"hair","female","shoot","No LPC data found for hair/female","No sprite data available"
"hair","female","slash","No LPC data found for hair/female","No sprite data available"
"hair","child","walk","No LPC data found for hair/child","No sprite data available"
"hair","child","hurt","No LPC data found for hair/child","No sprite data available"
"hair","child","idle","No LPC data found for hair/child","No sprite data available"
"hair","child","shoot","No LPC data found for hair/child","No sprite data available"
"hair","child","slash","No LPC data found for hair/child","No sprite data available"
"hair","teen","walk","No LPC data found for hair/teen","No sprite data available"
"hair","teen","hurt","No LPC data found for hair/teen","No sprite data available"
"hair","teen","idle","No LPC data found for hair/teen","No sprite data available"
"hair","teen","shoot","No LPC data found for hair/teen","No sprite data available"
"hair","teen","slash","No LPC data found for hair/teen","No sprite data available"
"body","male","walk","No LPC data found for body/male","No sprite data available"
"body","male","hurt","No LPC data found for body/male","No sprite data available"
"body","male","idle","No LPC data found for body/male","No sprite data available"
"body","male","shoot","No LPC data found for body/male","No sprite data available"
"body","male","slash","No LPC data found for body/male","No sprite data available"
"body","female","walk","No LPC data found for body/female","No sprite data available"
"body","female","hurt","No LPC data found for body/female","No sprite data available"
"body","female","idle","No LPC data found for body/female","No sprite data available"
"body","female","shoot","No LPC data found for body/female","No sprite data available"
"body","female","slash","No LPC data found for body/female","No sprite data available"
"body","child","walk","No LPC data found for body/child","No sprite data available"
"body","child","hurt","No LPC data found for body/child","No sprite data available"
"body","child","idle","No LPC data found for body/child","No sprite data available"
"body","child","shoot","No LPC data found for body/child","No sprite data available"
"body","child","slash","No LPC data found for body/child","No sprite data available"
"body","teen","walk","No LPC data found for body/teen","No sprite data available"
"body","teen","hurt","No LPC data found for body/teen","No sprite data available"
"body","teen","idle","No LPC data found for body/teen","No sprite data available"
"body","teen","shoot","No LPC data found for body/teen","No sprite data available"
"body","teen","slash","No LPC data found for body/teen","No sprite data available"
"torso","male","walk","No LPC data found for torso/male","No sprite data available"
"torso","male","hurt","No LPC data found for torso/male","No sprite data available"
"torso","male","idle","No LPC data found for torso/male","No sprite data available"
"torso","male","shoot","No LPC data found for torso/male","No sprite data available"
"torso","male","slash","No LPC data found for torso/male","No sprite data available"
"torso","female","walk","No LPC data found for torso/female","No sprite data available"
"torso","female","hurt","No LPC data found for torso/female","No sprite data available"
"torso","female","idle","No LPC data found for torso/female","No sprite data available"
"torso","female","shoot","No LPC data found for torso/female","No sprite data available"
"torso","female","slash","No LPC data found for torso/female","No sprite data available"
"torso","child","walk","No LPC data found for torso/child","No sprite data available"
"torso","child","hurt","No LPC data found for torso/child","No sprite data available"
"torso","child","idle","No LPC data found for torso/child","No sprite data available"
"torso","child","shoot","No LPC data found for torso/child","No sprite data available"
"torso","child","slash","No LPC data found for torso/child","No sprite data available"
"torso","teen","walk","No LPC data found for torso/teen","No sprite data available"
"torso","teen","hurt","No LPC data found for torso/teen","No sprite data available"
